,id,shelf,shelf_name,division,book,book_name,page,path,formula,tabulated,num_n,num_k,wl_n_min,wl_n_max,wl_k_min,wl_k_max
75,75,main,MAIN - simple inorganic materials,B - Boron and borates,LuAl3(BO3)4,"LuAl<sub>3</sub>(BO<sub>3</sub>)<sub>4</sub> (Lutetium aluminium borate, LuAB)",Fang-o,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/LuAl3(BO3)4/Fang-o.yml,4,,0,0,0.266,1.338,0.0,inf
76,76,main,MAIN - simple inorganic materials,B - Boron and borates,LuAl3(BO3)4,"LuAl<sub>3</sub>(BO<sub>3</sub>)<sub>4</sub> (Lutetium aluminium borate, LuAB)",Fang-e,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/LuAl3(BO3)4/Fang-e.yml,4,,0,0,0.266,1.338,0.0,inf
77,77,main,MAIN - simple inorganic materials,Be - Beryllium,Be,Be (Beryllium),Rakic,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Be/Rakic.yml,0,nk,200,200,0.20664,12.398,0.20664,12.398
78,78,main,MAIN - simple inorganic materials,Bi - Bismuth,Bi,Bi (Bismuth),Werner,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Bi/Werner.yml,0,nk,150,150,0.017586,2.479684,0.017586,2.479684
79,79,main,MAIN - simple inorganic materials,Bi - Bismuth,Bi,Bi (Bismuth),Werner-DFT,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Bi/Werner-DFT.yml,0,nk,150,150,0.017586,2.479684,0.017586,2.479684
80,80,main,MAIN - simple inorganic materials,Bi - Bismuth,Bi,Bi (Bismuth),Hagemann,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Bi/Hagemann.yml,0,nk,150,150,2.48e-06,6.199,2.48e-06,6.199
81,81,main,MAIN - simple inorganic materials,Br - Bromides,AgBr,AgBr (Silver bromide),Schröter,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/AgBr/Schroter.yml,8,,0,0,0.495,0.67,0.0,inf
82,82,main,MAIN - simple inorganic materials,Br - Bromides,CsBr,CsBr (Cesium bromide),Li,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/CsBr/Li.yml,1,,0,0,0.21,55.0,0.0,inf
83,83,main,MAIN - simple inorganic materials,Br - Bromides,CsBr,CsBr (Cesium bromide),Rodney,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/CsBr/Rodney.yml,1,,0,0,0.365,39.0,0.0,inf
84,84,main,MAIN - simple inorganic materials,Br - Bromides,KBr,KBr (Potassium bromide),Li,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/KBr/Li.yml,1,,0,0,0.2,42.0,0.0,inf
